INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,IMP_AGE,M_IMP_AGE,AGE_BIN,IMP_YOJ,M_IMP_YOJ,IMP_INCOME,M_IMP_INCOME,IMP_JOB,M_IMP_JOB,IMP_HOME_VAL,M_IMP_HOME_VAL,IMP_TRAVTIME,IMP_BLUEBOOK,OLDCLAIM_BIN,IMP_CAR_AGE,M_IMP_CAR_AGE
14,1,6077,0,53,0,14,"$77,100",No,$0,z_No,z_F,Masters,Lawyer,15,Private,"$18,300",1,Sports Car,no,$0,0,No,0,11,Highly Urban/ Urban,53,0,3,14,0,77099.966243,0,Lawyer,0,0,0,15.415675645,18300,0,11,0
15,0,0,0,43,0,5,"$52,642",No,"$209,970",Yes,z_F,Masters,Professional,36,Private,"$22,420",7,Minivan,no,$0,0,No,0,1,z_Highly Rural/ Rural,43,0,2,5,0,52642.095233,0,Professional,0,209969.87009,0,35.621762626,22420,0,1,0
16,0,0,0,55,0,11,"$59,162",No,"$180,232",Yes,M,Bachelors,Manager,25,Commercial,"$17,600",7,Van,yes,"$5,028",2,Yes,3,9,Highly Urban/ Urban,55,0,3,11,0,59162.32016,0,Manager,0,180231.98985,0,24.695035151,17600,2,9,0
17,1,1267,0,53,0,11,"$130,795",No,$0,z_No,M,PhD,,64,Commercial,"$28,340",6,Panel Truck,yes,$0,0,No,3,10,Highly Urban/ Urban,53,0,3,11,0,130794.57417,0,Doctor,1,0,0,63.838610007,28340,0,10,0
19,1,2920.16732,0,45,0,0,$0,No,"$106,859",Yes,z_F,<High School,Home Maker,48,Private,"$6,000",1,z_SUV,no,$0,0,No,3,5,Highly Urban/ Urban,45,0,2,0,0,0,0,Home Maker,0,106859.36985,0,48.360191466,6000,0,5,0
20,0,0,0,39,3,12,"$51,884",Yes,"$180,951",z_No,z_F,Bachelors,Clerical,43,Private,"$10,590",6,z_SUV,no,$0,0,No,0,13,z_Highly Rural/ Rural,39,0,2,12,0,51884.111278,0,Clerical,0,180950.83472,0,43.110288624,10590,0,13,0
22,0,0,0,42,0,11,"$59,945",No,"$192,207",Yes,M,Masters,Lawyer,42,Private,"$14,190",6,Minivan,no,$0,0,No,0,16,Highly Urban/ Urban,42,0,2,11,0,59944.837693,0,Lawyer,0,192207.43645,0,42.385388643,14190,0,16,0
23,0,0,0,34,3,13,"$34,019",No,"$91,875",Yes,z_F,Masters,Lawyer,27,Private,"$8,300",7,z_SUV,no,$0,0,No,0,20,Highly Urban/ Urban,34,0,1,13,0,34019.450371,0,Lawyer,0,91875.18631,0,27.384668564,8300,0,20,0
24,0,0,0,31,2,12,"$18,903",No,"$93,797",Yes,z_F,<High School,Clerical,48,Private,"$17,330",4,Minivan,no,$0,0,No,0,7,Highly Urban/ Urban,31,0,1,12,0,18902.502453,0,Clerical,0,93797.389053,0,47.559634551,17330,0,7,0
25,1,6857,0,28,1,13,"$44,077",No,"$170,598",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$8,710",6,z_SUV,no,"$8,935",2,No,0,1,Highly Urban/ Urban,28,0,1,13,0,44077.288972,0,z_Blue Collar,0,170597.8046,0,29.48024404,8710,2,1,0
26,1,3627,0,43,0,13,"$37,214",No,,Yes,M,<High School,z_Blue Collar,52,Commercial,"$26,560",1,Panel Truck,yes,$0,0,No,3,1,Highly Urban/ Urban,43,0,2,13,0,37214.24479,0,z_Blue Collar,0,156413.52,1,52.394108192,26560,0,1,0
27,0,0,0,48,0,14,"$96,274",No,"$282,904",Yes,z_F,Masters,Lawyer,36,Private,"$11,130",6,z_SUV,no,"$8,250",1,No,5,14,Highly Urban/ Urban,48,0,3,14,0,96274.01971,0,Lawyer,0,282904.4197,0,36.180926698,11130,2,14,0
28,0,0,0,47,0,11,"$46,281",No,$0,z_No,z_F,<High School,z_Blue Collar,29,Private,"$19,700",10,Minivan,no,$0,0,No,1,5,Highly Urban/ Urban,47,0,3,11,0,46281.003598,0,z_Blue Collar,0,0,0,29.012852852,19700,0,5,0
29,0,0,2,44,2,0,$0,No,"$82,344",Yes,z_F,z_High School,Home Maker,8,Private,"$5,900",6,z_SUV,no,"$3,338",3,No,0,11,Highly Urban/ Urban,44,0,2,0,0,0,0,Home Maker,0,82343.547505,0,8.0732752235,5900,1,11,0
32,0,0,0,33,1,13,"$79,606",No,"$225,962",Yes,z_F,Bachelors,Professional,27,Private,"$16,830",9,z_SUV,no,$0,0,No,2,15,z_Highly Rural/ Rural,33,0,1,13,0,79606.244446,0,Professional,0,225962.48321,0,27.000548357,16830,0,15,0
33,1,4486,0,32,1,9,"$31,275",No,"$118,160",Yes,z_F,z_High School,Clerical,26,Private,"$10,030",1,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban,32,0,1,9,0,31274.723522,0,Clerical,0,118160.4786,0,26.392960832,10030,0,1,0
34,0,0,1,44,2,17,"$45,488",No,"$219,378",Yes,M,Bachelors,Manager,16,Private,"$22,090",17,Minivan,no,$0,0,No,0,12,Highly Urban/ Urban,44,0,2,17,0,45488.146253,0,Manager,0,219378.05866,0,15.839548829,22090,0,12,0
35,0,0,0,35,0,8,"$72,193",No,$0,z_No,z_F,Bachelors,Clerical,26,Private,"$12,220",6,z_SUV,no,$0,0,No,3,12,Highly Urban/ Urban,35,0,1,8,0,72192.666897,0,Clerical,0,0,0,25.987312837,12220,0,12,0
36,0,0,0,40,2,0,,No,"$98,777",Yes,z_F,Masters,Home Maker,15,Private,"$14,130",6,z_SUV,no,"$38,127",2,Yes,4,12,z_Highly Rural/ Rural,40,0,2,0,0,12073.33,1,Home Maker,0,98777.420493,0,15.109476502,14130,3,12,0
38,0,0,0,49,0,5,"$49,244",No,"$163,444",Yes,M,Bachelors,Clerical,30,Private,"$15,880",1,Minivan,no,$0,0,No,1,1,Highly Urban/ Urban,49,0,3,5,0,49243.568639,0,Clerical,0,163444.48669,0,30.130119911,15880,0,1,0
40,0,0,0,52,0,8,"$51,278",No,"$230,340",Yes,z_F,Bachelors,Professional,37,Private,"$1,500",4,z_SUV,no,$0,0,No,1,10,Highly Urban/ Urban,52,0,3,8,0,51277.528931,0,Professional,0,230339.53862,0,36.917821331,1500,0,10,0
41,0,0,0,41,0,7,"$92,842",No,"$286,113",z_No,M,Masters,,12,Commercial,"$25,810",6,Panel Truck,no,"$1,431",2,No,5,15,Highly Urban/ Urban,41,0,2,7,0,92842.35466,0,Manager,1,286113.48039,0,12.37757105,25810,1,15,0
42,0,0,0,39,0,10,"$35,081",No,"$202,839",Yes,M,Bachelors,z_Blue Collar,38,Commercial,"$16,640",4,Van,yes,$0,0,No,0,13,Highly Urban/ Urban,39,0,2,10,0,35081.422197,0,z_Blue Collar,0,202839.4863,0,37.827232245,16640,0,13,0
43,0,0,0,56,0,0,$0,No,"$63,827",Yes,z_F,PhD,Home Maker,65,Private,"$13,220",1,Minivan,no,$0,0,No,0,12,z_Highly Rural/ Rural,56,0,4,0,0,0,0,Home Maker,0,63826.527235,0,64.999098781,13220,0,12,0
44,0,0,0,49,0,12,"$115,044",No,"$311,980",z_No,z_F,PhD,Doctor,18,Private,"$17,900",1,Minivan,no,$0,0,No,0,14,Highly Urban/ Urban,49,0,3,12,0,115044.35553,0,Doctor,0,311980.12303,0,17.735082389,17900,0,14,0
45,0,0,0,38,0,11,"$37,754",No,"$138,823",Yes,z_F,z_High School,Clerical,47,Private,"$12,080",1,z_SUV,no,$0,0,No,2,9,z_Highly Rural/ Rural,38,0,2,11,0,37753.573129,0,Clerical,0,138822.85114,0,46.681341086,12080,0,9,0
46,0,0,0,43,2,17,"$145,353",No,"$418,785",Yes,z_F,Masters,,38,Commercial,"$29,450",6,Van,no,$0,0,No,0,15,Highly Urban/ Urban,43,0,2,17,0,145352.95178,0,Doctor,1,418785.23193,0,37.867511521,29450,0,15,0
48,0,0,0,63,0,15,"$121,398",No,"$343,410",Yes,z_F,PhD,Doctor,10,Private,"$16,270",1,z_SUV,no,$0,0,No,0,11,Highly Urban/ Urban,63,0,4,15,0,121398.26422,0,Doctor,0,343409.95395,0,10.140581874,16270,0,11,0
49,0,0,0,52,0,0,$0,No,"$87,925",z_No,z_F,z_High School,Student,48,Commercial,"$9,280",1,z_SUV,no,$0,0,No,1,6,z_Highly Rural/ Rural,52,0,3,0,0,0,0,Student,0,87925.391238,0,48.074096304,9280,0,6,0
50,0,0,0,35,0,7,"$14,508",No,$0,Yes,M,Bachelors,Student,22,Commercial,"$6,450",1,Pickup,no,$0,0,No,0,7,Highly Urban/ Urban,35,0,1,7,0,14508.136368,0,Student,0,0,0,22.042269295,6450,0,7,0
51,0,0,0,43,0,13,"$75,338",No,"$270,555",Yes,z_F,Bachelors,Manager,40,Private,"$23,080",1,Sports Car,no,$0,0,No,0,8,Highly Urban/ Urban,43,0,2,13,0,75337.94059,0,Manager,0,270555.33468,0,40.232021247,23080,0,8,0
52,0,0,0,41,0,10,"$32,774",No,$0,z_No,z_F,z_High School,Clerical,44,Private,"$20,120",4,Minivan,no,$0,0,No,0,1,z_Highly Rural/ Rural,41,0,2,10,0,32773.643066,0,Clerical,0,0,0,43.776697873,20120,0,1,0
53,0,0,0,40,0,11,"$57,474",No,"$186,418",Yes,M,Bachelors,Clerical,5,Commercial,"$29,270",4,Panel Truck,yes,$0,0,No,1,5,Highly Urban/ Urban,40,0,2,11,0,57474.088715,0,Clerical,0,186417.73949,0,5,29270,0,5,0
54,0,0,0,31,1,12,"$26,520",No,"$154,493",Yes,M,Bachelors,Student,62,Commercial,"$4,600",6,Minivan,yes,$0,0,No,2,5,Highly Urban/ Urban,31,0,1,12,0,26519.975862,0,Student,0,154493.40306,0,62.256351339,4600,0,5,0
55,0,0,0,47,0,8,"$18,444",No,$0,Yes,z_F,z_High School,Student,35,Commercial,"$19,450",6,z_SUV,no,"$2,981",2,No,5,,Highly Urban/ Urban,47,0,3,8,0,18444.163319,0,Student,0,0,0,34.678505576,19450,1,8,1
56,0,0,0,53,0,,"$107,259",No,"$343,700",Yes,M,Masters,Professional,36,Private,"$29,230",10,Minivan,yes,$0,0,No,0,15,Highly Urban/ Urban,53,0,3,10,1,107259.31481,0,Professional,0,343699.72478,0,36.155966062,29230,0,15,0
57,0,0,0,39,3,7,"$34,046",No,"$183,383",Yes,z_F,z_High School,Clerical,33,Private,"$4,040",6,z_SUV,no,$0,0,No,0,5,z_Highly Rural/ Rural,39,0,2,7,0,34046.378136,0,Clerical,0,183383.21629,0,33.303156051,4040,0,5,0
58,0,0,0,33,3,14,"$32,364",No,"$152,894",Yes,M,<High School,Clerical,40,Private,"$12,270",18,Minivan,yes,$0,0,No,3,1,Highly Urban/ Urban,33,0,1,14,0,32364.461458,0,Clerical,0,152893.7224,0,39.930905224,12270,0,1,0
59,0,0,0,59,0,5,"$106,775",No,,z_No,M,Masters,Lawyer,10,Private,"$31,930",1,Minivan,yes,$0,0,No,0,,Highly Urban/ Urban,59,0,4,5,0,106775.48846,0,Lawyer,0,201922.45,1,10.486624739,31930,0,8,1
61,1,6100,0,40,0,11,"$16,989",No,$0,z_No,M,<High School,z_Blue Collar,20,Commercial,"$12,230",4,Pickup,yes,"$26,104",1,Yes,13,6,Highly Urban/ Urban,40,0,2,11,0,16988.721353,0,z_Blue Collar,0,0,0,20.450015825,12230,3,6,0
65,1,8840.6835683,0,44,2,15,"$16,352",No,"$134,164",Yes,z_F,z_High School,Home Maker,37,Private,"$10,520",1,z_SUV,no,"$7,838",1,No,1,1,Highly Urban/ Urban,44,0,2,15,0,16352.029311,0,Home Maker,0,134163.63824,0,36.794855392,10520,2,1,0
66,0,0,0,56,0,16,"$44,760",No,"$164,852",Yes,M,Bachelors,Manager,30,Private,"$21,770",13,Minivan,yes,$0,0,No,0,6,Highly Urban/ Urban,56,0,4,16,0,44760.173564,0,Manager,0,164851.86573,0,30.083377956,21770,0,6,0
67,1,2117,1,45,1,14,"$63,952",No,"$196,368",Yes,z_F,Masters,Lawyer,50,Private,"$32,340",6,Van,no,"$27,877",2,Yes,0,13,Highly Urban/ Urban,45,0,2,14,0,63952.177664,0,Lawyer,0,196367.82989,0,49.576894682,32340,3,13,0
69,0,0,0,48,0,,,No,"$252,896",Yes,M,Bachelors,Professional,14,Commercial,"$28,560",13,Panel Truck,yes,"$1,554",5,No,1,10,Highly Urban/ Urban,48,0,3,10,1,76593.11,1,Professional,0,252896.30728,0,14.472029926,28560,1,10,0
70,1,3532,1,44,2,,"$24,060",Yes,$0,z_No,M,Bachelors,Clerical,24,Private,"$14,220",4,Minivan,no,$0,0,No,0,10,Highly Urban/ Urban,44,0,2,10,1,24059.721569,0,Clerical,0,0,0,24.430198105,14220,0,10,0
71,1,866,0,33,4,12,"$20,822",No,"$76,022",Yes,z_F,z_High School,Home Maker,46,Private,"$6,880",13,z_SUV,no,"$7,896",3,No,0,1,Highly Urban/ Urban,33,0,1,12,0,20821.846303,0,Home Maker,0,76022.388532,0,45.907712767,6880,2,1,0
72,0,0,0,32,3,14,"$54,968",No,"$146,784",Yes,z_F,z_High School,Professional,20,Private,"$10,040",4,z_SUV,no,$0,0,Yes,0,8,Highly Urban/ Urban,32,0,1,14,0,54968.061145,0,Professional,0,146784.12882,0,20.083150291,10040,0,8,0
73,1,7786,0,34,0,8,"$14,194",No,"$87,034",z_No,z_F,<High School,Clerical,13,Private,"$2,920",4,Sports Car,no,"$24,767",3,Yes,2,10,Highly Urban/ Urban,34,0,1,8,0,14193.648179,0,Clerical,0,87033.786979,0,13.367238489,2920,3,10,0
74,0,0,1,38,4,12,"$2,149",No,"$72,889",Yes,z_F,<High School,Home Maker,35,Private,"$22,690",10,Pickup,no,$0,0,No,2,1,Highly Urban/ Urban,38,0,2,12,0,2149.0548219,0,Home Maker,0,72888.598691,0,35.064763394,22690,0,1,0
77,1,4148,2,43,3,11,"$137,103",Yes,$0,z_No,z_F,Masters,Manager,29,Private,"$19,510",1,Sports Car,no,"$8,890",3,No,0,15,Highly Urban/ Urban,43,0,2,11,0,137102.73418,0,Manager,0,0,0,28.800357009,19510,2,15,0
78,0,0,0,49,0,9,,No,$0,z_No,M,PhD,,31,Commercial,"$33,710",3,Panel Truck,no,"$34,351",2,Yes,2,18,Highly Urban/ Urban,49,0,3,9,0,61898.1,1,Professional,1,0,0,30.989080925,33710,3,18,0
79,0,0,0,46,0,10,"$79,538",No,$0,z_No,z_F,Bachelors,Manager,13,Private,"$14,050",3,Minivan,no,$0,0,Yes,2,11,Highly Urban/ Urban,46,0,3,10,0,79538.163772,0,Manager,0,0,0,12.920163926,14050,0,11,0
80,0,0,0,45,1,11,"$185,836",No,"$509,115",Yes,z_F,PhD,Lawyer,28,Private,"$10,250",1,z_SUV,no,"$4,307",3,No,6,20,Highly Urban/ Urban,45,0,2,11,0,185836.49922,0,Lawyer,0,497746,0,28.175545565,10250,1,20,0
81,0,0,0,46,0,14,,No,"$397,661",z_No,M,Masters,,22,Commercial,"$33,320",4,Panel Truck,yes,$0,0,Yes,1,12,Highly Urban/ Urban,46,0,3,14,0,61898.1,1,Professional,1,397660.52394,0,22.066630213,33320,0,12,0
82,0,0,0,45,0,11,"$61,931",No,"$213,530",Yes,M,Masters,,30,Commercial,"$10,910",13,Pickup,yes,"$25,106",2,No,0,,Highly Urban/ Urban,45,0,2,11,0,61931.026536,0,Professional,1,213530.30426,0,30.085199571,10910,3,8,1
84,0,0,0,63,0,9,"$74,426",No,$0,z_No,z_F,PhD,Doctor,11,Private,"$27,600",1,z_SUV,no,$0,0,No,0,18,Highly Urban/ Urban,63,0,4,9,0,74426.194387,0,Doctor,0,0,0,11.153014717,27600,0,18,0
85,0,0,0,44,0,9,"$74,722",No,"$231,034",Yes,z_F,Bachelors,Professional,9,Private,"$23,640",6,Minivan,no,$0,0,No,0,1,Highly Urban/ Urban,44,0,2,9,0,74721.844201,0,Professional,0,231033.88489,0,8.965940108,23640,0,1,0
86,1,2371,1,45,2,11,"$102,393",Yes,$0,z_No,M,Bachelors,Professional,25,Private,"$1,500",1,Minivan,yes,$0,0,No,2,11,Highly Urban/ Urban,45,0,2,11,0,102393.17988,0,Professional,0,0,0,24.86796984,1500,0,11,0
88,0,0,0,48,0,0,$0,No,"$98,920",Yes,z_F,z_High School,Home Maker,50,Private,"$8,660",3,Sports Car,no,"$8,363",2,No,3,,Highly Urban/ Urban,48,0,3,0,0,0,0,Home Maker,0,98919.603187,0,49.732571233,8660,2,8,1
89,1,4804,1,37,2,12,,No,"$205,211",Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,"$5,200",1,z_SUV,no,"$2,718",1,No,1,3,Highly Urban/ Urban,37,0,2,12,0,58957.01,1,z_Blue Collar,0,205211.45388,0,43.020279102,5200,1,3,0
90,0,0,0,35,0,,"$29,371",No,$0,z_No,z_F,<High School,Clerical,49,Private,"$4,860",10,Sports Car,no,$0,0,No,0,1,Highly Urban/ Urban,35,0,1,10,1,29370.723061,0,Clerical,0,0,0,48.519733481,4860,0,1,0
91,1,1354,0,48,0,12,"$31,773",No,"$165,090",Yes,M,z_High School,Clerical,14,Commercial,"$9,640",13,Pickup,no,"$1,212",1,No,4,1,Highly Urban/ Urban,48,0,3,12,0,31773.103961,0,Clerical,0,165090.29641,0,14.459323282,9640,1,1,0
93,0,0,0,49,0,0,$0,No,"$159,389",Yes,z_F,Masters,Professional,42,Private,"$6,400",10,z_SUV,no,"$9,115",1,No,6,14,Highly Urban/ Urban,49,0,3,0,0,0,0,Professional,0,159389.12758,0,41.923201295,6400,2,14,0
94,0,0,0,44,2,15,"$139,330",Yes,"$316,900",z_No,z_F,z_High School,z_Blue Collar,35,Commercial,"$22,050",10,Sports Car,no,$0,0,No,0,1,z_Highly Rural/ Rural,44,0,2,15,0,139330.44596,0,z_Blue Collar,0,316899.60601,0,35.266034966,22050,0,1,0
95,0,0,0,50,0,13,"$163,296",No,"$447,616",z_No,z_F,PhD,Lawyer,42,Private,"$22,830",1,Minivan,no,$0,0,No,0,14,z_Highly Rural/ Rural,50,0,3,13,0,163295.63985,0,Lawyer,0,447616.28688,0,42.139173251,22830,0,14,0
96,0,0,0,30,1,10,"$17,455",Yes,"$140,978",z_No,z_F,<High School,z_Blue Collar,50,Private,"$12,380",13,Minivan,no,$0,0,No,0,6,z_Highly Rural/ Rural,30,0,1,10,0,17454.572664,0,z_Blue Collar,0,140978.26508,0,49.526045183,12380,0,6,0
97,0,0,0,54,0,,"$71,007",No,"$240,833",Yes,M,Bachelors,Manager,61,Private,"$14,000",6,Minivan,no,$0,0,No,0,11,Highly Urban/ Urban,54,0,3,10,1,71006.605003,0,Manager,0,240833.25422,0,60.904057477,14000,0,11,0
99,1,2425,0,53,0,6,"$38,036",No,"$153,381",Yes,z_F,z_High School,z_Blue Collar,32,Commercial,"$13,140",1,z_SUV,no,$0,0,No,4,1,Highly Urban/ Urban,53,0,3,6,0,38035.583473,0,z_Blue Collar,0,153380.55233,0,32.180285048,13140,0,1,0
100,0,0,0,53,0,13,"$41,199",No,"$150,933",z_No,z_F,Bachelors,Manager,21,Private,"$15,360",1,z_SUV,no,$0,0,No,0,8,Highly Urban/ Urban,53,0,3,13,0,41199.069043,0,Manager,0,150932.65873,0,21.491901321,15360,0,8,0
101,0,0,0,29,1,10,"$38,042",Yes,"$202,967",z_No,M,z_High School,Professional,15,Private,"$15,160",6,Minivan,no,$0,0,No,0,1,Highly Urban/ Urban,29,0,1,10,0,38042.373988,0,Professional,0,202967.20333,0,14.873580134,15160,0,1,0
102,0,0,0,58,0,11,"$91,223",No,$0,z_No,M,Masters,Lawyer,23,Private,"$10,620",6,Pickup,no,$0,0,No,0,,Highly Urban/ Urban,58,0,4,11,0,91222.919494,0,Lawyer,0,0,0,23.098263571,10620,0,8,1
103,0,0,0,55,0,7,"$45,787",No,"$173,196",Yes,z_F,Masters,Lawyer,5,Private,"$19,380",6,Minivan,no,$0,0,No,0,13,Highly Urban/ Urban,55,0,3,7,0,45787.363101,0,Lawyer,0,173196.04125,0,5,19380,0,13,0
104,0,0,0,55,0,,"$84,964",No,"$227,091",Yes,M,Bachelors,z_Blue Collar,21,Commercial,"$5,760",1,Pickup,yes,$969,2,No,6,11,Highly Urban/ Urban,55,0,3,10,1,84963.847411,0,z_Blue Collar,0,227090.56454,0,20.784610813,5760,1,11,0
105,0,0,0,56,0,8,"$38,240",No,"$190,675",Yes,z_F,z_High School,Clerical,28,Private,"$16,220",4,z_SUV,no,$0,0,No,0,,z_Highly Rural/ Rural,56,0,4,8,0,38240.156721,0,Clerical,0,190674.98239,0,28.482028785,16220,0,8,1
108,0,0,0,34,0,11,"$51,565",No,$0,z_No,M,Masters,Lawyer,36,Private,"$18,110",1,Van,yes,$759,2,No,3,15,Highly Urban/ Urban,34,0,1,11,0,51565.460805,0,Lawyer,0,0,0,36.451045752,18110,1,15,0
109,1,5711,0,34,3,0,$0,No,"$66,358",Yes,z_F,z_High School,Home Maker,25,Private,"$11,740",9,z_SUV,no,"$1,800",2,No,2,1,Highly Urban/ Urban,34,0,1,0,0,0,0,Home Maker,0,66358.299133,0,24.520001264,11740,1,1,0
110,0,0,0,36,0,11,"$105,384",No,"$267,509",Yes,M,Masters,Professional,24,Private,"$13,800",7,Minivan,yes,"$31,695",3,Yes,4,17,Highly Urban/ Urban,36,0,2,11,0,105384.26668,0,Professional,0,267508.96235,0,23.916761204,13800,3,17,0
111,1,13105.327626,0,41,0,10,"$66,265",No,"$159,276",Yes,M,Masters,Lawyer,59,Private,"$12,230",4,Minivan,yes,$0,0,No,1,9,Highly Urban/ Urban,41,0,2,10,0,66265.352101,0,Lawyer,0,159276.14704,0,58.547455521,12230,0,9,0
112,1,4061,0,46,0,7,,No,,z_No,M,Masters,,17,Commercial,"$23,350",13,Panel Truck,yes,"$4,678",3,No,6,17,Highly Urban/ Urban,46,0,3,7,0,61898.1,1,Professional,1,192245.39,1,16.522326829,23350,1,17,0
114,0,0,0,42,0,9,"$76,226",No,"$217,920",Yes,M,Bachelors,z_Blue Collar,18,Commercial,"$23,390",13,Panel Truck,yes,$0,0,No,0,14,Highly Urban/ Urban,42,0,2,9,0,76225.782211,0,z_Blue Collar,0,217920.48951,0,17.962041469,23390,0,14,0
115,0,0,1,38,3,16,"$7,528",No,"$113,809",Yes,M,<High School,Clerical,26,Private,"$8,080",1,Pickup,yes,$0,0,No,0,8,z_Highly Rural/ Rural,38,0,2,16,0,7527.9319593,0,Clerical,0,113808.76167,0,25.5272974,8080,0,8,0
116,1,7838,0,33,4,0,$0,Yes,$0,z_No,M,z_High School,Student,14,Commercial,"$15,090",1,Minivan,yes,"$1,631",1,No,2,5,Highly Urban/ Urban,33,0,1,0,0,0,0,Student,0,0,0,13.66285957,15090,1,5,0
117,1,3660,0,37,0,0,,No,"$73,890",Yes,z_F,Bachelors,Student,48,Commercial,"$12,850",7,z_SUV,no,$0,0,No,3,6,Highly Urban/ Urban,37,0,2,0,0,6309.65,1,Student,0,73889.976238,0,48.143336354,12850,0,6,0
118,0,0,1,42,1,9,"$32,797",No,"$160,661",Yes,z_F,Masters,Lawyer,63,Private,"$21,690",1,Minivan,no,$0,0,No,2,14,Highly Urban/ Urban,42,0,2,9,0,32796.570878,0,Lawyer,0,160661.40122,0,63.219377238,21690,0,14,0
119,1,5125,0,47,0,11,"$44,705",No,"$217,885",Yes,z_F,Bachelors,Professional,50,Private,"$12,840",1,z_SUV,no,"$1,533",2,No,0,10,Highly Urban/ Urban,47,0,3,11,0,44705.212812,0,Professional,0,217885.0948,0,50.088976304,12840,1,10,0
121,0,0,0,52,0,9,"$68,992",No,"$216,986",z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,"$15,120",1,Minivan,no,$0,0,No,3,10,z_Highly Rural/ Rural,52,0,3,9,0,68992.005278,0,z_Blue Collar,0,216986.0757,0,35.649412805,15120,0,10,0
